ch,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,-9,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8
2,-9,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8
5.5,-9,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8
11,-9,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8
6,-12,-7,-7,-7,-7,-7,-7,-7,-7,-7,-10,-10,-10,-10
9,-12,-7,-7,-7,-7,-7,-7,-7,-7,-7,-10,-10,-10,-10
12,-12,-7,-7,-7,-7,-7,-7,-7,-7,-7,-10,-10,-10,-10
18,-12,-7,-7,-7,-7,-7,-7,-7,-7,-7,-10,-10,-10,-10
24,-12,-7,-7,-7,-7,-7,-7,-7,-7,-7,-10,-10,-10,-10
36,-12,-7,-7,-7,-7,-7,-7,-7,-7,-7,-10,-10,-10,-10
48,-12,-7,-7,-7,-7,-7,-7,-7,-7,-7,-10,-10,-10,-10
54,-12,-7,-7,-7,-7,-7,-7,-7,-7,-7,-10,-10,-10,-10
mcs0,-13.5,-8,-8,-8,-8,-8,-8,-8,-8,-8,-11,-11,-11,-11
mcs1,-13.5,-8,-8,-8,-8,-8,-8,-8,-8,-8,-11,-11,-11,-11
mcs2,-13.5,-8,-8,-8,-8,-8,-8,-8,-8,-8,-11,-11,-11,-11
mcs3,-13.5,-8,-8,-8,-8,-8,-8,-8,-8,-8,-11,-11,-11,-11
mcs4,-13.5,-8,-8,-8,-8,-8,-8,-8,-8,-8,-11,-11,-11,-11
mcs5,-13.5,-8,-8,-8,-8,-8,-8,-8,-8,-8,-11,-11,-11,-11
mcs6,-13.5,-8,-8,-8,-8,-8,-8,-8,-8,-8,-11,-11,-11,-11
mcs7,-13.5,-9,-9,-9,-9,-9,-9,-9,-9,-9,-11,-11,-11,-11
1e9c,0,,,,,,,,,,,,,
1edc,0,,,,,,,,,,,,,
