ch,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,-10,-9,-9,-9,-9,-9,-9,-9,-9,-9,-10,-9,-9,-9
2,-10,-9,-9,-9,-9,-9,-9,-9,-9,-9,-10,-9,-9,-9
5.5,-10,-9,-9,-9,-9,-9,-9,-9,-9,-9,-10,-9,-9,-9
11,-10,-9,-9,-9,-9,-9,-9,-9,-9,-9,-10,-9,-9,-9
6,-11,-7,-7,-7,-7,-7,-7,-7,-7,-7,-9,-7,-7,-7
9,-11,-7,-7,-7,-7,-7,-7,-7,-7,-7,-9,-7,-7,-7
12,-11,-7,-7,-7,-7,-7,-7,-7,-7,-7,-9,-7,-7,-7
18,-11,-7,-7,-7,-7,-7,-7,-7,-7,-7,-9,-7,-7,-7
24,-11,-7,-7,-7,-7,-7,-7,-7,-7,-7,-9,-7,-7,-7
36,-11,-7,-7,-7,-7,-7,-7,-7,-7,-7,-9,-7,-7,-7
48,-11,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8
54,-11,-9,-9,-9,-8,-8,-8,-8,-8,-8,-9,-8,-8,-8
mcs0,-12,-7,-7,-7,-7,-7,-7,-7,-7,-7,-10,-7,-7,-7
mcs1,-12,-7,-7,-7,-7,-7,-7,-7,-7,-7,-10,-7,-7,-7
mcs2,-12,-7,-7,-7,-7,-7,-7,-7,-7,-7,-10,-7,-7,-7
mcs3,-12,-7,-7,-7,-7,-7,-7,-7,-7,-7,-10,-7,-7,-7
mcs4,-12,-7,-7,-7,-7,-7,-7,-7,-7,-7,-10,-7,-7,-7
mcs5,-12,-8,-8,-7,-7,-7,-7,-7,-7,-7,-10,-7,-7,-7
mcs6,-12,-9,-8,-8,-8,-8,-8,-8,-8,-8,-10,-8,-8,-8
mcs7,-12,-10,-9,-9,-9,-9,-9,-9,-9,-9,-10,-9,-9,-9
1e9c,0,,,,,,,,,,,,,
1edc,0,,,,,,,,,,,,,
