ch,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11
2,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11
5.5,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
11,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
9,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
12,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
18,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
24,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
36,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8
48,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
54,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
mcs0,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
mcs1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
mcs2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
mcs3,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
mcs4,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8
mcs5,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
mcs6,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13
mcs7,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13
1e9c,0,,,,,,,,,,,,,
1edc,0,,,,,,,,,,,,,
